stage,layer,layer_type,layer_category,tensor_type,count,min,max,min_abs_nonzero,empirical_min_spacing,frac_zero,format,verdict,mean_rel_error,max_rel_error,frac_overflow,frac_underflow_of_nonzero,scale
inference,conv1,Conv2d,conv,weight,150,-0.6976702213287354,0.6656421422958374,0.0016244752332568169,9.357929229736328e-06,0.0,FP16,Sufficient,0.00017715370349675853,0.0004027509181913442,0.0,0.0,
inference,conv1,Conv2d,conv,weight,150,-0.6976702213287354,0.6656421422958374,0.0016244752332568169,9.357929229736328e-06,0.0,FP8_E4M3,Marginal,0.02730132174040907,0.29795011773212815,0.0,0.0,
inference,conv1,Conv2d,conv,weight,150,-0.6976702213287354,0.6656421422958374,0.0016244752332568169,9.357929229736328e-06,0.0,FP8_E5M2,Marginal,0.04384160713967126,0.11069318180733952,0.0,0.0,
inference,conv1,Conv2d,conv,weight,150,-0.6976702213287354,0.6656421422958374,0.0016244752332568169,9.357929229736328e-06,0.0,INT16,Sufficient,0.00010078645219318153,0.003874625670839323,,,2.129185526074207e-05
inference,conv1,Conv2d,conv,weight,150,-0.6976702213287354,0.6656421422958374,0.0016244752332568169,9.357929229736328e-06,0.0,INT8,Marginal,0.028577415209007608,1.0,,,0.005493466309675081
inference,conv1,Conv2d,conv,bias,6,-0.32968446612358093,0.10069283843040466,0.06671435385942459,0.00021375715732574463,0.0,FP16,Sufficient,0.00020122873614913223,0.0004102220887840828,0.0,0.0,
inference,conv1,Conv2d,conv,bias,6,-0.32968446612358093,0.10069283843040466,0.06671435385942459,0.00021375715732574463,0.0,FP8_E4M3,Marginal,0.037930753492188926,0.0539336129696639,0.0,0.0,
inference,conv1,Conv2d,conv,bias,6,-0.32968446612358093,0.10069283843040466,0.06671435385942459,0.00021375715732574463,0.0,FP8_E5M2,Marginal,0.05547409251542932,0.06895066758102472,0.0,0.0,
inference,conv1,Conv2d,conv,bias,6,-0.32968446612358093,0.10069283843040466,0.06671435385942459,0.00021375715732574463,0.0,INT16,Sufficient,1.955664813828293e-05,4.961596673381587e-05,,,1.006147850348158e-05
inference,conv1,Conv2d,conv,bias,6,-0.32968446612358093,0.10069283843040466,0.06671435385942459,0.00021375715732574463,0.0,INT8,Sufficient,0.005941790011282261,0.01169319234985678,,,0.0025959406781384327
inference,conv1,Conv2d,conv,input,7840000,-0.4242129623889923,2.821486711502075,0.004181224387139082,0.01272815465927124,0.0,FP16,Sufficient,0.00023273895350291797,0.0004647480523825228,0.0,0.0,
inference,conv1,Conv2d,conv,input,7840000,-0.4242129623889923,2.821486711502075,0.004181224387139082,0.01272815465927124,0.0,FP8_E4M3,Marginal,0.029240062168666973,0.08593754511821095,0.0,0.0,
