stage,layer,layer_type,layer_category,tensor_type,count,min,max,min_abs_nonzero,empirical_min_spacing,frac_zero,format,verdict,mean_rel_error,max_rel_error,frac_overflow,frac_underflow_of_nonzero,scale
inference,features.0.0,Conv2d,conv,weight,864,-0.7085789442062378,0.9368358850479126,2.781013427011203e-05,7.450580596923828e-09,0.0,FP16,Sufficient,0.00017467951037344477,0.0009073972728895427,0.0,0.0,
inference,features.0.0,Conv2d,conv,weight,864,-0.7085789442062378,0.9368358850479126,2.781013427011203e-05,7.450580596923828e-09,0.0,FP8_E4M3,Marginal,0.03076675652195185,1.0,0.0,0.0023148148148148147,
inference,features.0.0,Conv2d,conv,weight,864,-0.7085789442062378,0.9368358850479126,2.781013427011203e-05,7.450580596923828e-09,0.0,FP8_E5M2,Marginal,0.04611911653006923,0.11022078716307215,0.0,0.0,
inference,features.0.0,Conv2d,conv,weight,864,-0.7085789442062378,0.9368358850479126,2.781013427011203e-05,7.450580596923828e-09,0.0,INT16,Sufficient,0.00021253190392578894,0.028072520527739342,,,2.8590834835288938e-05
inference,features.0.0,Conv2d,conv,weight,864,-0.7085789442062378,0.9368358850479126,2.781013427011203e-05,7.450580596923828e-09,0.0,INT8,Marginal,0.0484094805266997,1.0,,,0.0073766605121882885
inference,features.0.0,Conv2d,conv,input,30720000,-1.8974260091781616,2.0242578983306885,0.0008794242748990655,9.179115295410156e-06,0.0,FP16,Sufficient,0.00017885627372165306,0.0004648821227023157,0.0,0.0,
inference,features.0.0,Conv2d,conv,input,30720000,-1.8974260091781616,2.0242578983306885,0.0008794242748990655,9.179115295410156e-06,0.0,FP8_E4M3,Marginal,0.024702253960463622,1.0,0.0,0.00245,
inference,features.0.0,Conv2d,conv,input,30720000,-1.8974260091781616,2.0242578983306885,0.0008794242748990655,9.179115295410156e-06,0.0,FP8_E5M2,Marginal,0.04270365022415725,0.11099785911343181,0.0,0.0,
inference,features.0.0,Conv2d,conv,input,30720000,-1.8974260091781616,2.0242578983306885,0.0008794242748990655,9.179115295410156e-06,0.0,INT16,Sufficient,0.00010615622516586044,0.016535364539252178,,,6.177733385206728e-05
inference,features.0.0,Conv2d,conv,input,30720000,-1.8974260091781616,2.0242578983306885,0.0008794242748990655,9.179115295410156e-06,0.0,INT8,Marginal,0.020426009494334322,1.0,,,0.01593903856953298
inference,features.0.0,Conv2d,conv,activation,327680000,-13.146085739135742,12.87406063079834,2.2843398284067007e-09,9.313225746154785e-10,0.0,FP16,Sufficient,0.00017516202316502464,0.00048233300765549054,0.0,0.0,
inference,features.0.0,Conv2d,conv,activation,327680000,-13.146085739135742,12.87406063079834,2.2843398284067007e-09,9.313225746154785e-10,0.0,FP8_E4M3,Marginal,0.02346590969759444,1.0,0.0,0.00035,
inference,features.0.0,Conv2d,conv,activation,327680000,-13.146085739135742,12.87406063079834,2.2843398284067007e-09,9.313225746154785e-10,0.0,FP8_E5M2,Marginal,0.04512445311590227,0.11110275180653696,0.0,0.0,
inference,features.0.0,Conv2d,conv,activation,327680000,-13.146085739135742,12.87406063079834,2.2843398284067007e-09,9.313225746154785e-10,0.0,INT16,Sufficient,0.00038599321931812643,1.0,,,0.0003351860059192795
inference,features.0.0,Conv2d,conv,activation,327680000,-13.146085739135742,12.87406063079834,2.2843398284067007e-09,9.313225746154785e-10,0.0,INT8,Marginal,0.05362146348147908,1.0,,,0.08648062878706324
inference,features.0.1,BatchNorm2d,batchnorm,weight,32,0.4620157778263092,0.7916240096092224,0.4620157778263092,0.00010943412780761719,0.0,FP16,Sufficient,0.00018282025655195686,0.00031159752963863844,0.0,0.0,
inference,features.0.1,BatchNorm2d,batchnorm,weight,32,0.4620157778263092,0.7916240096092224,0.4620157778263092,0.00010943412780761719,0.0,FP8_E4M3,Sufficient,0.013174280271986537,0.05063556089001269,0.0,0.0,
inference,features.0.1,BatchNorm2d,batchnorm,weight,32,0.4620157778263092,0.7916240096092224,0.4620157778263092,0.00010943412780761719,0.0,FP8_E5M2,Sufficient,0.015683519429352987,0.05306264201982664,0.0,0.0,
inference,features.0.1,BatchNorm2d,batchnorm,weight,32,0.4620157778263092,0.7916240096092224,0.4620157778263092,0.00010943412780761719,0.0,INT16,Sufficient,6.816826542164923e-06,1.605794144563107e-05,,,2.4159184838685946e-05
inference,features.0.1,BatchNorm2d,batchnorm,weight,32,0.4620157778263092,0.7916240096092224,0.4620157778263092,0.00010943412780761719,0.0,INT8,Sufficient,0.0020796633536522106,0.0045695513923819115,,,0.006233259918182853
inference,features.0.1,BatchNorm2d,batchnorm,bias,32,-0.248845636844635,0.6751906871795654,0.002575673395767808,5.802139639854431e-05,0.0,FP16,Sufficient,0.0002185770732996784,0.0004084184243313612,0.0,0.0,
inference,features.0.1,BatchNorm2d,batchnorm,bias,32,-0.248845636844635,0.6751906871795654,0.002575673395767808,5.802139639854431e-05,0.0,FP8_E4M3,Marginal,0.04002038339780867,0.24170315878975268,0.0,0.0,
inference,features.0.1,BatchNorm2d,batchnorm,bias,32,-0.248845636844635,0.6751906871795654,0.002575673395767808,5.802139639854431e-05,0.0,FP8_E5M2,Marginal,0.04145721232390785,0.08942406012752349,0.0,0.0,
inference,features.0.1,BatchNorm2d,batchnorm,bias,32,-0.248845636844635,0.6751906871795654,0.002575673395767808,5.802139639854431e-05,0.0,INT16,Sufficient,0.00020740019374332287,0.002373469597063997,,,2.0605813384794624e-05
inference,features.0.1,BatchNorm2d,batchnorm,bias,32,-0.248845636844635,0.6751906871795654,0.002575673395767808,5.802139639854431e-05,0.0,INT8,Marginal,0.08455154857849144,1.0,,,0.005316462103776106
inference,features.0.1,BatchNorm2d,batchnorm,input,327680000,-13.146085739135742,12.87406063079834,2.2843398284067007e-09,9.313225746154785e-10,0.0,FP16,Sufficient,0.00017516202316502464,0.00048233300765549054,0.0,0.0,
inference,features.0.1,BatchNorm2d,batchnorm,input,327680000,-13.146085739135742,12.87406063079834,2.2843398284067007e-09,9.313225746154785e-10,0.0,FP8_E4M3,Marginal,0.02346590969759444,1.0,0.0,0.00035,
inference,features.0.1,BatchNorm2d,batchnorm,input,327680000,-13.146085739135742,12.87406063079834,2.2843398284067007e-09,9.313225746154785e-10,0.0,FP8_E5M2,Marginal,0.04512445311590227,0.11110275180653696,0.0,0.0,
inference,features.0.1,BatchNorm2d,batchnorm,input,327680000,-13.146085739135742,12.87406063079834,2.2843398284067007e-09,9.313225746154785e-10,0.0,INT16,Sufficient,0.00038599321931812643,1.0,,,0.0003351860059192795
inference,features.0.1,BatchNorm2d,batchnorm,input,327680000,-13.146085739135742,12.87406063079834,2.2843398284067007e-09,9.313225746154785e-10,0.0,INT8,Marginal,0.05362146348147908,1.0,,,0.08648062878706324
inference,features.0.1,BatchNorm2d,batchnorm,activation,327680000,-4.500263690948486,5.571164131164551,1.156497564380743e-09,2.3283064365386963e-10,0.0,FP16,Sufficient,0.00017439803122373934,0.00048281446618587975,0.0,0.0,
inference,features.0.1,BatchNorm2d,batchnorm,activation,327680000,-4.500263690948486,5.571164131164551,1.156497564380743e-09,2.3283064365386963e-10,0.0,FP8_E4M3,Marginal,0.02473254417639467,1.0,0.0,0.00095,
inference,features.0.1,BatchNorm2d,batchnorm,activation,327680000,-4.500263690948486,5.571164131164551,1.156497564380743e-09,2.3283064365386963e-10,0.0,FP8_E5M2,Marginal,0.045027647838881205,0.11650202960246198,0.0,0.0,
