stage,layer,layer_type,layer_category,tensor_type,count,min,max,min_abs_nonzero,empirical_min_spacing,frac_zero,format,verdict,mean_rel_error,max_rel_error,frac_overflow,frac_underflow_of_nonzero,scale
inference,conv1,Conv2d,conv,weight,1728,-0.5270029306411743,0.5485422015190125,0.00021790147002320737,3.390014171600342e-07,0.0,FP16,Sufficient,0.0001803902269758108,0.0004781308247119533,0.0,0.0,
inference,conv1,Conv2d,conv,weight,1728,-0.5270029306411743,0.5485422015190125,0.00021790147002320737,3.390014171600342e-07,0.0,FP8_E4M3,Marginal,0.032656350361679125,1.0,0.0,0.004050925925925926,
inference,conv1,Conv2d,conv,weight,1728,-0.5270029306411743,0.5485422015190125,0.00021790147002320737,3.390014171600342e-07,0.0,FP8_E5M2,Marginal,0.044930675651381424,0.11093833297121994,0.0,0.0,
inference,conv1,Conv2d,conv,weight,1728,-0.5270029306411743,0.5485422015190125,0.00021790147002320737,3.390014171600342e-07,0.0,INT16,Sufficient,0.00014122847344617625,0.017891970530208863,,,1.6740690375042343e-05
inference,conv1,Conv2d,conv,weight,1728,-0.5270029306411743,0.5485422015190125,0.00021790147002320737,3.390014171600342e-07,0.0,INT8,Marginal,0.03619142987592336,1.0,,,0.00431922993322057
inference,conv1,Conv2d,conv,input,30720000,-1.9894737005233765,2.12648868560791,0.0006281130481511354,5.5283308029174805e-06,0.0,FP16,Sufficient,0.00017618948553270135,0.0004725976472912634,0.0,0.0,
inference,conv1,Conv2d,conv,input,30720000,-1.9894737005233765,2.12648868560791,0.0006281130481511354,5.5283308029174805e-06,0.0,FP8_E4M3,Marginal,0.02624601382693827,1.0,0.0,0.00225,
inference,conv1,Conv2d,conv,input,30720000,-1.9894737005233765,2.12648868560791,0.0006281130481511354,5.5283308029174805e-06,0.0,FP8_E5M2,Marginal,0.04400779224098733,0.11003156559107093,0.0,0.0,
inference,conv1,Conv2d,conv,input,30720000,-1.9894737005233765,2.12648868560791,0.0006281130481511354,5.5283308029174805e-06,0.0,INT16,Sufficient,0.00013289330868654307,0.03320994991828842,,,6.489726510232582e-05
inference,conv1,Conv2d,conv,input,30720000,-1.9894737005233765,2.12648868560791,0.0006281130481511354,5.5283308029174805e-06,0.0,INT8,Sufficient,0.019050488210939118,1.0,,,0.016744005398487482
inference,conv1,Conv2d,conv,activation,655360000,-7.19917106628418,7.821596622467041,2.4149957589258975e-09,5.820766091346741e-11,0.0,FP16,Sufficient,0.0001763548373866972,0.004181906389729422,0.0,0.0,
inference,conv1,Conv2d,conv,activation,655360000,-7.19917106628418,7.821596622467041,2.4149957589258975e-09,5.820766091346741e-11,0.0,FP8_E4M3,Marginal,0.026861735346782677,1.0,0.0,0.00215,
inference,conv1,Conv2d,conv,activation,655360000,-7.19917106628418,7.821596622467041,2.4149957589258975e-09,5.820766091346741e-11,0.0,FP8_E5M2,Marginal,0.044956733552569336,1.0,0.0,5e-05,
inference,conv1,Conv2d,conv,activation,655360000,-7.19917106628418,7.821596622467041,2.4149957589258975e-09,5.820766091346741e-11,0.0,INT16,Sufficient,0.0014874621872854792,1.0,,,0.0002386429764824485
inference,conv1,Conv2d,conv,activation,655360000,-7.19917106628418,7.821596622467041,2.4149957589258975e-09,5.820766091346741e-11,0.0,INT8,Not sufficient,0.13809315358751967,1.0,,,0.0615717670110267
inference,bn1,BatchNorm2d,batchnorm,weight,64,0.5095415115356445,1.1831293106079102,0.5095415115356445,3.337860107421875e-05,0.0,FP16,Sufficient,0.00017682754421947413,0.0004786075635099021,0.0,0.0,
inference,bn1,BatchNorm2d,batchnorm,weight,64,0.5095415115356445,1.1831293106079102,0.5095415115356445,3.337860107421875e-05,0.0,FP8_E4M3,Marginal,0.021016175433691373,0.05880431033689626,0.0,0.0,
inference,bn1,BatchNorm2d,batchnorm,weight,64,0.5095415115356445,1.1831293106079102,0.5095415115356445,3.337860107421875e-05,0.0,FP8_E5M2,Marginal,0.042358965260314296,0.10763922685968687,0.0,0.0,
inference,bn1,BatchNorm2d,batchnorm,weight,64,0.5095415115356445,1.1831293106079102,0.5095415115356445,3.337860107421875e-05,0.0,INT16,Sufficient,1.1536017237554231e-05,3.1017515054925594e-05,,,3.610734307711753e-05
inference,bn1,BatchNorm2d,batchnorm,weight,64,0.5095415115356445,1.1831293106079102,0.5095415115356445,3.337860107421875e-05,0.0,INT8,Sufficient,0.002752665454528645,0.00747279214920655,,,0.009315978823684332
inference,bn1,BatchNorm2d,batchnorm,bias,64,-0.2469387948513031,0.35671958327293396,0.001827695406973362,0.0001016457099467516,0.0,FP16,Sufficient,0.0001699796777715337,0.00037036715509546487,0.0,0.0,
inference,bn1,BatchNorm2d,batchnorm,bias,64,-0.2469387948513031,0.35671958327293396,0.001827695406973362,0.0001016457099467516,0.0,FP8_E4M3,Marginal,0.028417488316880894,0.27699054734519707,0.0,0.0,
inference,bn1,BatchNorm2d,batchnorm,bias,64,-0.2469387948513031,0.35671958327293396,0.001827695406973362,0.0001016457099467516,0.0,FP8_E5M2,Marginal,0.04353203185648671,0.10851359880514623,0.0,0.0,
inference,bn1,BatchNorm2d,batchnorm,bias,64,-0.2469387948513031,0.35671958327293396,0.001827695406973362,0.0001016457099467516,0.0,INT16,Sufficient,8.488134816402103e-05,0.0012552316519129844,,,1.0886549982388804e-05
inference,bn1,BatchNorm2d,batchnorm,bias,64,-0.2469387948513031,0.35671958327293396,0.001827695406973362,0.0001016457099467516,0.0,INT8,Marginal,0.02763120990459937,0.5368072850681799,,,0.0028088156163223145
inference,bn1,BatchNorm2d,batchnorm,input,655360000,-7.19917106628418,7.821596622467041,2.4149957589258975e-09,5.820766091346741e-11,0.0,FP16,Sufficient,0.0001763548373866972,0.004181906389729422,0.0,0.0,
inference,bn1,BatchNorm2d,batchnorm,input,655360000,-7.19917106628418,7.821596622467041,2.4149957589258975e-09,5.820766091346741e-11,0.0,FP8_E4M3,Marginal,0.026861735346782677,1.0,0.0,0.00215,
inference,bn1,BatchNorm2d,batchnorm,input,655360000,-7.19917106628418,7.821596622467041,2.4149957589258975e-09,5.820766091346741e-11,0.0,FP8_E5M2,Marginal,0.044956733552569336,1.0,0.0,5e-05,
inference,bn1,BatchNorm2d,batchnorm,input,655360000,-7.19917106628418,7.821596622467041,2.4149957589258975e-09,5.820766091346741e-11,0.0,INT16,Sufficient,0.0014874621872854792,1.0,,,0.0002386429764824485
inference,bn1,BatchNorm2d,batchnorm,input,655360000,-7.19917106628418,7.821596622467041,2.4149957589258975e-09,5.820766091346741e-11,0.0,INT8,Not sufficient,0.13809315358751967,1.0,,,0.0615717670110267
