stage,layer,layer_type,layer_category,tensor_type,count,min,max,min_abs_nonzero,empirical_min_spacing,frac_zero,format,verdict,mean_rel_error,max_rel_error,frac_overflow,frac_underflow_of_nonzero,scale
begin,conv1,Conv2d,conv,weight,1728,-0.1922646015882492,0.19235776364803314,0.00010523200035095215,5.21540641784668e-08,0.0,FP16,Sufficient,0.00017626189268449052,0.00046472295655221275,0.0,0.0,
begin,conv1,Conv2d,conv,weight,1728,-0.1922646015882492,0.19235776364803314,0.00010523200035095215,5.21540641784668e-08,0.0,FP8_E4M3,Marginal,0.03279760982657994,1.0,0.0,0.004629629629629629,
begin,conv1,Conv2d,conv,weight,1728,-0.1922646015882492,0.19235776364803314,0.00010523200035095215,5.21540641784668e-08,0.0,FP8_E5M2,Marginal,0.04488996132709265,0.11085532626851596,0.0,0.0,
begin,conv1,Conv2d,conv,weight,1728,-0.1922646015882492,0.19235776364803314,0.00010523200035095215,5.21540641784668e-08,0.0,INT16,Sufficient,6.340921970672622e-05,0.015815827596616556,,,5.870472232674127e-06
begin,conv1,Conv2d,conv,weight,1728,-0.1922646015882492,0.19235776364803314,0.00010523200035095215,5.21540641784668e-08,0.0,INT8,Sufficient,0.014246067109342783,1.0,,,0.0015146280602207334
begin,conv1,Conv2d,conv,input,1966080,-1.9894737005233765,2.12648868560791,0.0006281130481511354,5.5283308029174805e-06,0.0,FP16,Sufficient,0.00016826183547711133,0.0004725976472912634,0.0,0.0,
begin,conv1,Conv2d,conv,input,1966080,-1.9894737005233765,2.12648868560791,0.0006281130481511354,5.5283308029174805e-06,0.0,FP8_E4M3,Marginal,0.025104865264066547,1.0,0.0,0.0025,
begin,conv1,Conv2d,conv,input,1966080,-1.9894737005233765,2.12648868560791,0.0006281130481511354,5.5283308029174805e-06,0.0,FP8_E5M2,Marginal,0.04004635081347225,0.11003156559107093,0.0,0.0,
begin,conv1,Conv2d,conv,input,1966080,-1.9894737005233765,2.12648868560791,0.0006281130481511354,5.5283308029174805e-06,0.0,INT16,Sufficient,0.0001365985872476165,0.03320994991828842,,,6.489726510232582e-05
begin,conv1,Conv2d,conv,input,1966080,-1.9894737005233765,2.12648868560791,0.0006281130481511354,5.5283308029174805e-06,0.0,INT8,Sufficient,0.018475841340315755,1.0,,,0.016744005398487482
begin,conv1,Conv2d,conv,activation,41943040,-3.7178733348846436,3.8417816162109375,9.95184024077389e-09,4.656612873077393e-10,0.0,FP16,Sufficient,0.00017695053919288957,0.00048459597241881885,0.0,0.0,
begin,conv1,Conv2d,conv,activation,41943040,-3.7178733348846436,3.8417816162109375,9.95184024077389e-09,4.656612873077393e-10,0.0,FP8_E4M3,Marginal,0.025553351394086703,1.0,0.0,0.0015,
begin,conv1,Conv2d,conv,activation,41943040,-3.7178733348846436,3.8417816162109375,9.95184024077389e-09,4.656612873077393e-10,0.0,FP8_E5M2,Marginal,0.04506258973633065,0.11107823756587881,0.0,0.0,
begin,conv1,Conv2d,conv,activation,41943040,-3.7178733348846436,3.8417816162109375,9.95184024077389e-09,4.656612873077393e-10,0.0,INT16,Sufficient,0.00040197568400865966,0.49139074593735704,,,9.685057172275541e-05
begin,conv1,Conv2d,conv,activation,41943040,-3.7178733348846436,3.8417816162109375,9.95184024077389e-09,4.656612873077393e-10,0.0,INT8,Marginal,0.06236775667997,1.0,,,0.024988210107397844
begin,conv1,Conv2d,conv,weight_gradient,8640,-0.16131603717803955,0.144508495926857,3.861670847982168e-06,9.313225746154785e-10,0.0,FP16,Sufficient,0.0001793431011593675,0.003791658351626422,0.0,0.0,
