stage,layer,layer_type,layer_category,tensor_type,count,min,max,min_abs_nonzero,empirical_min_spacing,frac_zero,format,verdict,mean_rel_error,max_rel_error,frac_overflow,frac_underflow_of_nonzero,scale
end,conv1,Conv2d,conv,weight,1728,-0.4184210002422333,0.5127167701721191,0.0001424413057975471,1.4528632164001465e-07,0.0,FP16,Sufficient,0.0001783132462866021,0.00046597821745365147,0.0,0.0,
end,conv1,Conv2d,conv,weight,1728,-0.4184210002422333,0.5127167701721191,0.0001424413057975471,1.4528632164001465e-07,0.0,FP8_E4M3,Marginal,0.033009987197339455,1.0,0.0,0.004629629629629629,
end,conv1,Conv2d,conv,weight,1728,-0.4184210002422333,0.5127167701721191,0.0001424413057975471,1.4528632164001465e-07,0.0,FP8_E5M2,Marginal,0.04599872256281084,0.1109104410001257,0.0,0.0,
end,conv1,Conv2d,conv,weight,1728,-0.4184210002422333,0.5127167701721191,0.0001424413057975471,1.4528632164001465e-07,0.0,INT16,Sufficient,0.0001789863633219403,0.04973820911603298,,,1.5647351609000492e-05
end,conv1,Conv2d,conv,weight,1728,-0.4184210002422333,0.5127167701721191,0.0001424413057975471,1.4528632164001465e-07,0.0,INT8,Marginal,0.0386760406575612,1.0,,,0.004037139922615111
end,conv1,Conv2d,conv,input,1966080,-1.9894737005233765,2.12648868560791,0.0006281130481511354,5.5283308029174805e-06,0.0,FP16,Sufficient,0.00016851225053719177,0.0004725976472912634,0.0,0.0,
end,conv1,Conv2d,conv,input,1966080,-1.9894737005233765,2.12648868560791,0.0006281130481511354,5.5283308029174805e-06,0.0,FP8_E4M3,Marginal,0.02434137827757667,1.0,0.0,0.0019,
end,conv1,Conv2d,conv,input,1966080,-1.9894737005233765,2.12648868560791,0.0006281130481511354,5.5283308029174805e-06,0.0,FP8_E5M2,Marginal,0.039627521154092064,0.11003156559107093,0.0,0.0,
end,conv1,Conv2d,conv,input,1966080,-1.9894737005233765,2.12648868560791,0.0006281130481511354,5.5283308029174805e-06,0.0,INT16,Sufficient,0.0001156418303709469,0.03320994991828842,,,6.489726510232582e-05
end,conv1,Conv2d,conv,input,1966080,-1.9894737005233765,2.12648868560791,0.0006281130481511354,5.5283308029174805e-06,0.0,INT8,Sufficient,0.017501713636636412,1.0,,,0.016744005398487482
end,conv1,Conv2d,conv,activation,41943040,-6.330824851989746,6.285386085510254,4.776204320933175e-09,2.3283064365386963e-10,0.0,FP16,Sufficient,0.00017719756102566086,0.004873623029752675,0.0,0.0,
