stage,layer,layer_type,layer_category,tensor_type,count,min,max,min_abs_nonzero,empirical_min_spacing,frac_zero,format,verdict,mean_rel_error,max_rel_error,frac_overflow,frac_underflow_of_nonzero,scale
middle,conv1,Conv2d,conv,weight,1728,-0.4358125627040863,0.4903276860713959,3.4674528137657035e-07,1.4901161193847656e-08,0.0,FP16,Sufficient,0.0001912544220387737,0.03138496141193269,0.0,0.0,
middle,conv1,Conv2d,conv,weight,1728,-0.4358125627040863,0.4903276860713959,3.4674528137657035e-07,1.4901161193847656e-08,0.0,FP8_E4M3,Marginal,0.032810720960937144,1.0,0.0,0.005208333333333333,
middle,conv1,Conv2d,conv,weight,1728,-0.4358125627040863,0.4903276860713959,3.4674528137657035e-07,1.4901161193847656e-08,0.0,FP8_E5M2,Marginal,0.045626374244200234,1.0,0.0,0.0005787037037037037,
middle,conv1,Conv2d,conv,weight,1728,-0.4358125627040863,0.4903276860713959,3.4674528137657035e-07,1.4901161193847656e-08,0.0,INT16,Sufficient,0.0008151116536343773,1.0,,,1.4964070133713672e-05
middle,conv1,Conv2d,conv,weight,1728,-0.4358125627040863,0.4903276860713959,3.4674528137657035e-07,1.4901161193847656e-08,0.0,INT8,Marginal,0.032427384880912756,1.0,,,0.0038608479218220147
middle,conv1,Conv2d,conv,input,1966080,-1.9894737005233765,2.12648868560791,0.0006281130481511354,5.5283308029174805e-06,0.0,FP16,Sufficient,0.00016919338474510244,0.0004725976472912634,0.0,0.0,
middle,conv1,Conv2d,conv,input,1966080,-1.9894737005233765,2.12648868560791,0.0006281130481511354,5.5283308029174805e-06,0.0,FP8_E4M3,Marginal,0.024562829884855576,1.0,0.0,0.00205,
middle,conv1,Conv2d,conv,input,1966080,-1.9894737005233765,2.12648868560791,0.0006281130481511354,5.5283308029174805e-06,0.0,FP8_E5M2,Marginal,0.040048038028275224,0.11003156559107093,0.0,0.0,
middle,conv1,Conv2d,conv,input,1966080,-1.9894737005233765,2.12648868560791,0.0006281130481511354,5.5283308029174805e-06,0.0,INT16,Sufficient,0.00012117721464234044,0.03320994991828842,,,6.489726510232582e-05
middle,conv1,Conv2d,conv,input,1966080,-1.9894737005233765,2.12648868560791,0.0006281130481511354,5.5283308029174805e-06,0.0,INT8,Sufficient,0.017405684969387897,1.0,,,0.016744005398487482
middle,conv1,Conv2d,conv,activation,41943040,-6.404200553894043,6.3768134117126465,4.609305648273221e-08,2.3283064365386963e-10,0.0,FP16,Sufficient,0.0001754619440670504,0.0004847309743092584,0.0,0.0,
middle,conv1,Conv2d,conv,activation,41943040,-6.404200553894043,6.3768134117126465,4.609305648273221e-08,2.3283064365386963e-10,0.0,FP8_E4M3,Marginal,0.025420227636810424,1.0,0.0,0.0016,
middle,conv1,Conv2d,conv,activation,41943040,-6.404200553894043,6.3768134117126465,4.609305648273221e-08,2.3283064365386963e-10,0.0,FP8_E5M2,Marginal,0.04463712110687696,0.15361116377395467,0.0,0.0,
middle,conv1,Conv2d,conv,activation,41943040,-6.404200553894043,6.3768134117126465,4.609305648273221e-08,2.3283064365386963e-10,0.0,INT16,Sufficient,0.0007838868406560359,1.0,,,0.00019524098679577496
middle,conv1,Conv2d,conv,activation,41943040,-6.404200553894043,6.3768134117126465,4.609305648273221e-08,2.3283064365386963e-10,0.0,INT8,Marginal,0.09154302210569742,1.0,,,0.050373711923914634
middle,conv1,Conv2d,conv,weight_gradient,8640,-0.025779154151678085,0.052603889256715775,9.052964742295444e-07,5.820766091346741e-11,0.0,FP16,Sufficient,0.0001908626035135842,0.02976468062741963,0.0,0.0,
middle,conv1,Conv2d,conv,weight_gradient,8640,-0.025779154151678085,0.052603889256715775,9.052964742295444e-07,5.820766091346741e-11,0.0,FP8_E4M3,Not sufficient,0.2712067698645161,1.0,0.0,0.15069444444444444,
middle,conv1,Conv2d,conv,weight_gradient,8640,-0.025779154151678085,0.052603889256715775,9.052964742295444e-07,5.820766091346741e-11,0.0,FP8_E5M2,Marginal,0.0468489613262501,1.0,0.0,0.001388888888888889,
middle,conv1,Conv2d,conv,weight_gradient,8640,-0.025779154151678085,0.052603889256715775,9.052964742295444e-07,5.820766091346741e-11,0.0,INT16,Sufficient,0.0006659041774279922,0.7733331990734436,,,1.6053922927553873e-06
middle,conv1,Conv2d,conv,weight_gradient,8640,-0.025779154151678085,0.052603889256715775,9.052964742295444e-07,5.820766091346741e-11,0.0,INT8,Marginal,0.07966854396110805,1.0,,,0.00041420385241508484
middle,conv1,Conv2d,conv,weight_update,8640,-0.004074648022651672,0.0029676631093025208,4.470348358154297e-08,4.656612873077393e-10,0.0,FP16,Sufficient,0.00035021718507125736,0.3333333333333333,0.0,0.0,
middle,conv1,Conv2d,conv,weight_update,8640,-0.004074648022651672,0.0029676631093025208,4.470348358154297e-08,4.656612873077393e-10,0.0,FP8_E4M3,Not sufficient,0.9383397459631159,1.0,0.0,0.8671296296296296,
middle,conv1,Conv2d,conv,weight_update,8640,-0.004074648022651672,0.0029676631093025208,4.470348358154297e-08,4.656612873077393e-10,0.0,FP8_E5M2,Not sufficient,0.06516423797561985,1.0,0.0,0.010300925925925925,
middle,conv1,Conv2d,conv,weight_update,8640,-0.004074648022651672,0.0029676631093025208,4.470348358154297e-08,4.656612873077393e-10,0.0,INT16,Sufficient,0.0005084584260862361,1.0,,,1.243521842906483e-07
middle,conv1,Conv2d,conv,weight_update,8640,-0.004074648022651672,0.0029676631093025208,4.470348358154297e-08,4.656612873077393e-10,0.0,INT8,Marginal,0.07128845093676041,1.0,,,3.2083842698044664e-05
middle,bn1,BatchNorm2d,batchnorm,weight,64,0.5865126252174377,0.9383016228675842,0.5865126252174377,0.00034373998641967773,0.0,FP16,Sufficient,0.0001662350596914577,0.000361053005138062,0.0,0.0,
middle,bn1,BatchNorm2d,batchnorm,weight,64,0.5865126252174377,0.9383016228675842,0.5865126252174377,0.00034373998641967773,0.0,FP8_E4M3,Marginal,0.021716305252070568,0.05097493655272185,0.0,0.0,
middle,bn1,BatchNorm2d,batchnorm,weight,64,0.5865126252174377,0.9383016228675842,0.5865126252174377,0.00034373998641967773,0.0,FP8_E5M2,Marginal,0.04221811999238604,0.0891495123285558,0.0,0.0,
middle,bn1,BatchNorm2d,batchnorm,weight,64,0.5865126252174377,0.9383016228675842,0.5865126252174377,0.00034373998641967773,0.0,INT16,Sufficient,8.876972832152293e-06,2.3731288289592435e-05,,,2.8635566968827914e-05
middle,bn1,BatchNorm2d,batchnorm,weight,64,0.5865126252174377,0.9383016228675842,0.5865126252174377,0.00034373998641967773,0.0,INT8,Sufficient,0.0026076186543054314,0.005763374863131327,,,0.007388201754862868
middle,bn1,BatchNorm2d,batchnorm,bias,64,-0.22403207421302795,0.2739717662334442,0.0022002533078193665,0.00019533932209014893,0.0,FP16,Sufficient,0.0001820558825265447,0.0004090481358084589,0.0,0.0,
middle,bn1,BatchNorm2d,batchnorm,bias,64,-0.22403207421302795,0.2739717662334442,0.0022002533078193665,0.00019533932209014893,0.0,FP8_E4M3,Marginal,0.027616302593737995,0.24115555813330003,0.0,0.0,
middle,bn1,BatchNorm2d,batchnorm,bias,64,-0.22403207421302795,0.2739717662334442,0.0022002533078193665,0.00019533932209014893,0.0,FP8_E5M2,Marginal,0.045888995982954664,0.11066395446607181,0.0,0.0,
middle,bn1,BatchNorm2d,batchnorm,bias,64,-0.22403207421302795,0.2739717662334442,0.0022002533078193665,0.00019533932209014893,0.0,INT16,Sufficient,6.90192126830321e-05,0.0010973733913584966,,,8.361209943951055e-06
middle,bn1,BatchNorm2d,batchnorm,bias,64,-0.22403207421302795,0.2739717662334442,0.0022002533078193665,0.00019533932209014893,0.0,INT8,Sufficient,0.013364545522356532,0.3145618536169092,,,0.0021572580018381434
middle,bn1,BatchNorm2d,batchnorm,input,41943040,-6.404200553894043,6.3768134117126465,4.609305648273221e-08,2.3283064365386963e-10,0.0,FP16,Sufficient,0.0001754619440670504,0.0004847309743092584,0.0,0.0,
